,name,number,a
0,Alisson Becker,1,<a href=https://www.liverpoolfc.com/team/first-team/player/alisson-becker>Alisson Becker</a>
1,Adrian,13,<a href=https://www.liverpoolfc.com/team/first-team/player/adrian>Adrian</a>
2,Caoimhin Kelleher,62,<a href=https://www.liverpoolfc.com/team/first-team/player/caoimhin-kelleher>Caoimhin Kelleher</a>
3,Joe Gomez,2,<a href=https://www.liverpoolfc.com/team/first-team/player/joe-gomez>Joe Gomez</a>
4,Virgil van Dijk,4,<a href=https://www.liverpoolfc.com/team/first-team/player/virgil-van-dijk>Virgil van Dijk</a>
5,Ibrahima Konate,5,<a href=https://www.liverpoolfc.com/team/first-team/player/ibrahima-konate>Ibrahima Konate</a>
6,Kostas Tsimikas,21,<a href=https://www.liverpoolfc.com/team/first-team/player/kostas-tsimikas>Kostas Tsimikas</a>
7,Calvin Ramsay,22,<a href=https://www.liverpoolfc.com/team/first-team/player/calvin-ramsay>Calvin Ramsay</a>
8,Andy Robertson,26,<a href=https://www.liverpoolfc.com/team/first-team/player/andy-robertson>Andy Robertson</a>
9,Joel Matip,32,<a href=https://www.liverpoolfc.com/team/first-team/player/joel-matip>Joel Matip</a>
10,Rhys Williams,46,<a href=https://www.liverpoolfc.com/team/first-team/player/rhys-williams>Rhys Williams</a>
11,Nathaniel Phillips,47,<a href=https://www.liverpoolfc.com/team/first-team/player/nathaniel-phillips>Nathaniel Phillips</a>
12,Trent Alexander-Arnold,66,<a href=https://www.liverpoolfc.com/team/first-team/player/trent-alexander-arnold>Trent Alexander-Arnold</a>
13,Fabinho,3,<a href=https://www.liverpoolfc.com/team/first-team/player/fabinho>Fabinho</a>
14,Thiago Alcantara,6,<a href=https://www.liverpoolfc.com/team/first-team/player/thiago-alcantara>Thiago Alcantara</a>
15,James Milner,7,<a href=https://www.liverpoolfc.com/team/first-team/player/james-milner>James Milner</a>
16,Naby Keita,8,<a href=https://www.liverpoolfc.com/team/first-team/player/naby-keita>Naby Keita</a>
17,Jordan Henderson,14,<a href=https://www.liverpoolfc.com/team/first-team/player/jordan-henderson>Jordan Henderson</a>
18,Alex Oxlade-Chamberlain,15,<a href=https://www.liverpoolfc.com/team/first-team/player/alex-oxlade-chamberlain>Alex Oxlade-Chamberlain</a>
19,Curtis Jones,17,<a href=https://www.liverpoolfc.com/team/first-team/player/curtis-jones>Curtis Jones</a>
20,Harvey Elliott,19,<a href=https://www.liverpoolfc.com/team/first-team/player/harvey-elliott>Harvey Elliott</a>
21,Arthur Melo,29,<a href=https://www.liverpoolfc.com/team/first-team/player/arthur-melo>Arthur Melo</a>
22,Stefan Bajcetic,43,<a href=https://www.liverpoolfc.com/team/first-team/player/stefan-bajcetic>Stefan Bajcetic</a>
23,Roberto Firmino,9,<a href=https://www.liverpoolfc.com/team/first-team/player/roberto-firmino>Roberto Firmino</a>
24,Mohamed Salah,11,<a href=https://www.liverpoolfc.com/team/first-team/player/mohamed-salah>Mohamed Salah</a>
25,Cody Gakpo,18,<a href=https://www.liverpoolfc.com/team/first-team/player/cody-gakpo>Cody Gakpo</a>
26,Diogo Jota,20,<a href=https://www.liverpoolfc.com/team/first-team/player/diogo-jota>Diogo Jota</a>
27,Luis Diaz,23,<a href=https://www.liverpoolfc.com/team/first-team/player/luis-diaz>Luis Diaz</a>
28,Darwin Nunez,27,<a href=https://www.liverpoolfc.com/team/first-team/player/darwin-nunez>Darwin Nunez</a>
29,Fabio Carvalho,28,<a href=https://www.liverpoolfc.com/team/first-team/player/fabio-carvalho>Fabio Carvalho</a>
30,Sepp van den Berg,72,<a href=https://www.liverpoolfc.com/team/first-team/player/sepp-van-den-berg>Sepp van den Berg</a>
31,Marcelo Pitaluga,97,<a href=https://www.liverpoolfc.com/team/first-team/player/marcelo-pitaluga>Marcelo Pitaluga</a>
